timestamp,heel_fsr,toe_fsr,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
21304,0,0,-4.43,7.29,-4.76,-0.07,-0.58,-2.00
21357,0,0,-4.24,7.18,-4.23,-0.17,0.14,0.12
21410,0,0,-3.51,7.44,-4.41,-0.35,0.32,0.37
21463,0,0,-3.38,7.32,-4.28,-0.44,-0.34,-1.01
21516,0,0,-3.92,7.59,-4.13,-0.50,-0.12,-1.18
21569,0,0,-4.14,7.06,-3.92,-0.32,-0.16,-0.90
21622,0,0,-4.09,7.40,-3.25,-0.48,-0.60,-0.65
21675,0,0,-5.36,7.14,-3.40,-0.21,0.03,0.46
21728,0,0,-4.27,7.17,-3.47,-1.09,1.02,0.47
21781,0,0,-4.19,7.67,-3.26,-1.01,0.91,0.33
21834,0,0,-3.54,8.25,-3.03,-0.94,0.85,1.93
21887,0,0,-2.37,8.60,-2.59,-1.03,1.07,0.23
21940,0,0,-2.30,8.58,-2.54,-0.72,0.69,0.31
21993,0,0,-1.75,8.94,-2.12,-0.71,-0.13,1.02
22046,0,0,-1.63,9.10,-2.15,-0.11,-0.02,0.12
22099,0,0,-1.73,8.95,-1.94,-0.32,0.25,-0.02
22152,0,0,-1.40,8.83,-1.88,-0.60,0.43,0.12
22205,0,0,-1.65,9.27,-1.64,-0.52,0.89,-0.54
22258,0,0,-1.39,9.12,-1.03,-1.14,0.69,0.53
22311,0,0,-1.16,9.78,-0.53,-1.11,0.55,0.29
22364,0,0,-1.38,9.73,-0.07,-0.71,0.62,-0.01
22417,0,0,-0.95,9.51,0.27,-0.64,-0.38,1.18
22470,0,0,-0.58,9.86,0.82,-0.45,1.07,-0.24
22523,0,0,-0.22,9.66,0.82,-0.44,0.60,0.20
22576,0,0,-0.09,9.76,0.55,-0.26,0.17,0.39
22629,0,0,0.17,9.65,1.32,-0.12,0.54,0.03
22682,0,0,0.08,9.74,1.09,-0.30,-0.16,0.40
22735,0,0,0.17,9.83,1.17,-0.21,0.44,-0.08
